ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Source,Source_comment
kima1244-4,kima1244,Waro noh tulun sirih [dot sinumambat di Majabou],Waro	noh	tulun	sirih	[dot	sinumambat	di	Majabou],exist	FOC	person	ANAPH.LOC	REL	PST.AV:meet	GEN	Majabou,There were people there who met Majabou …,,,,kroeger2005kimaragang[413],Kroeger 2005: 413
mala1481-1,mala1481,Dorang da kuti (pa) itu anak,Dorang	da	kuti	(pa)	itu	anak,3PL	PST	flick	DIR	the	child,They flicked the child.,,,,iemmolo2011dom[104],Iemmolo 2011: 104
mala1481-2,mala1481,Utu da skop pa kita,Utu	da	skop	pa	kita,Utu	PST	kick	DIR	1SG,Utu kicked me.,,,,iemmolo2011dom[104],Iemmolo 2011: 104
mala1481-3,mala1481,Kita da tampeleng pa John,Kita	da	tampeleng	pa	John,1SG	PST	slap	DIR	John,I slapped John.,,,,iemmolo2011dom[104],Iemmolo 2011: 104
indo1316-1,indo1316,Narti menunggu=ku,Narti	menunggu=ku,PN	AV:wait=1SG.GEN,Narti is waiting for me.,,,,sneddon2010indonesian[170],Sneddon et al. 2010: 170
indo1316-2,indo1316,Narti menunggu aku.,Narti	menunggu	aku.,PN	AV:wait	1SG,Narti is waiting for me.,,,,sneddon2010indonesian[171],Sneddon et al. 2010:171
indo1316-3,indo1316,Aku me-lihat guru=nya tadi,Aku	me-lihat	guru=nya	tadi,1SG	AV-see	teacher=3SG.GEN	recently,I saw the teacher earlier (today).,,,,sneddon2010indonesian[171],Sneddon et al. 2010: 171
indo1316-4,indo1316,Guru=nya me-lihat aku tadi.,Guru=nya	me-lihat	aku	tadi.,teacher=3SG.GEN	AV-see	1SG	recently,The teacher saw me earlier today.,,,,sneddon2010indonesian[171],Sneddon et al. 2010: 171
indo1316-5,indo1316,Ini pena aku,Ini	pena	aku,PRX	pen	1SG,This is my pen.,,,,sneddon2010indonesian[171],Sneddon et al. 2010: 171
indo1316-6,indo1316,"Surat itu, saya belum menerima=nya.","Surat	itu,	saya	belum	menerima=nya.",letter	DIST	1SG	not.yet	AV:receive=3SG.GEN,"Concerning that letter, I haven’t received it yet.",,,,sneddon2010indonesian[290],Sneddon et al. 2010: 290
indo1316-7,indo1316,sebuah lagu yang barangkali saudara akan menyukai=nya,sebuah	lagu	yang	barangkali	saudara	akan	menyukai=nya,one:CLF	song	REL	apparently	sibling	will	AV:like:APPL=3SG.GEN,a song which perhaps you will like,,,,sneddon2010indonesian[298],Sneddon et al. 2010: 298
